,date,score,sentiment,price
108,2018-06-11,0.9042,1.0,10786.9501953125
109,2018-06-12,0.8016,1.0,10842.849609375
110,2018-06-13,0.1714,1.0,10856.7001953125
111,2018-06-14,-0.8929,-1.0,10808.0498046875
112,2018-06-15,0.8834,1.0,10817.7001953125
113,2018-06-18,-0.9785,-1.0,10799.849609375
114,2018-06-19,0.1027,1.0,10710.4501953125
115,2018-06-20,0.9403,1.0,10772.0498046875
116,2018-06-21,0.7906,1.0,10741.099609375
117,2018-06-22,0.9571,1.0,10821.849609375
118,2018-06-25,-0.9788,-1.0,10762.4501953125
119,2018-06-26,-0.9936,-1.0,10769.150390625
120,2018-06-27,-0.9648,-1.0,10671.400390625
121,2018-06-28,-0.6444,-1.0,10589.099609375
122,2018-06-29,0.9737,1.0,10714.2998046875
123,2018-07-02,-0.6808,-1.0,10657.2998046875
124,2018-07-03,-0.8661,-1.0,10699.900390625
125,2018-07-04,0.9249,1.0,10769.900390625
126,2018-07-05,0.9908,1.0,10749.75
127,2018-07-06,0.9783,1.0,10772.650390625
128,2018-07-09,-0.5267,-1.0,10852.900390625
129,2018-07-10,0.8977,1.0,10947.25
130,2018-07-11,-0.296,-1.0,10948.2998046875
131,2018-07-12,0.9776,1.0,11023.2001953125
132,2018-07-13,0.9861,1.0,11018.900390625
133,2018-07-16,-0.951,-1.0,10936.849609375
134,2018-07-17,-0.0155,-1.0,11008.0498046875
135,2018-07-18,0.9893,1.0,10980.4501953125
136,2018-07-19,0.9637,1.0,10957.099609375
137,2018-07-20,0.804,1.0,11010.2001953125
138,2018-07-23,0.5423,1.0,11084.75
139,2018-07-24,0.9965,1.0,11134.2998046875
140,2018-07-25,0.9986,1.0,11132.0
141,2018-07-26,0.9992,1.0,11167.2998046875
142,2018-07-27,0.9824,1.0,11278.349609375
143,2018-07-30,0.9925,1.0,11319.5498046875
144,2018-07-31,0.9849,1.0,11356.5
145,2018-08-01,-0.4588,-1.0,11346.2001953125
146,2018-08-02,-0.8807,-1.0,11244.7001953125
147,2018-08-03,-0.5859,-1.0,11360.7998046875
