Date,price
2018-01-02,10442.2001953125
2018-01-03,10443.2001953125
2018-01-04,10504.7998046875
2018-01-05,10558.849609375
2018-01-08,10623.599609375
2018-01-09,10637.0
2018-01-10,10632.2001953125
2018-01-11,10651.2001953125
2018-01-12,10681.25
2018-01-15,10741.5498046875
2018-01-16,10700.4501953125
2018-01-17,10788.5498046875
2018-01-18,10817.0
2018-01-19,10894.7001953125
2018-01-22,10966.2001953125
2018-01-23,11083.7001953125
2018-01-24,11086.0
2018-01-25,11069.650390625
2018-01-29,11130.400390625
2018-01-30,11049.650390625
2018-01-31,11027.7001953125
2018-02-01,11016.900390625
2018-02-02,10760.599609375
2018-02-05,10666.5498046875
2018-02-06,10498.25
2018-02-07,10476.7001953125
2018-02-08,10576.849609375
2018-02-09,10454.9501953125
2018-02-12,10539.75
2018-02-14,10500.900390625
2018-02-15,10545.5
2018-02-16,10452.2998046875
2018-02-19,10378.400390625
2018-02-20,10360.400390625
2018-02-21,10397.4501953125
2018-02-22,10382.7001953125
2018-02-23,10491.0498046875
2018-02-26,10582.599609375
2018-02-27,10554.2998046875
2018-02-28,10492.849609375
2018-03-01,10458.349609375
2018-03-05,10358.849609375
2018-03-06,10249.25
2018-03-07,10154.2001953125
2018-03-08,10242.650390625
2018-03-09,10226.849609375
2018-03-12,10421.400390625
2018-03-13,10426.849609375
2018-03-14,10410.900390625
2018-03-15,10360.150390625
2018-03-16,10195.150390625
2018-03-19,10094.25
2018-03-20,10124.349609375
2018-03-21,10155.25
2018-03-22,10114.75
2018-03-23,9998.0498046875
2018-03-26,10130.650390625
2018-03-27,10184.150390625
2018-03-28,10113.7001953125
2018-04-02,10211.7998046875
2018-04-03,10245.0
2018-04-04,10128.400390625
2018-04-05,10325.150390625
2018-04-06,10331.599609375
2018-04-09,10379.349609375
2018-04-10,10402.25
2018-04-11,10417.150390625
2018-04-12,10458.650390625
2018-04-13,10480.599609375
2018-04-16,10528.349609375
2018-04-17,10548.7001953125
2018-04-18,10526.2001953125
2018-04-19,10565.2998046875
2018-04-20,10564.0498046875
2018-04-23,10584.7001953125
2018-04-24,10614.349609375
2018-04-25,10570.5498046875
2018-04-26,10617.7998046875
2018-04-27,10692.2998046875
2018-04-30,10739.349609375
2018-05-02,10718.0498046875
2018-05-03,10679.650390625
2018-05-04,10618.25
2018-05-07,10715.5
2018-05-08,10717.7998046875
2018-05-09,10741.7001953125
2018-05-10,10716.5498046875
2018-05-11,10806.5
2018-05-14,10806.599609375
2018-05-15,10801.849609375
2018-05-16,10741.099609375
2018-05-17,10682.7001953125
2018-05-18,10596.400390625
2018-05-21,10516.7001953125
2018-05-22,10536.7001953125
2018-05-23,10430.349609375
2018-05-24,10513.849609375
2018-05-25,10605.150390625
2018-05-28,10688.650390625
2018-05-29,10633.2998046875
2018-05-30,10614.349609375
2018-05-31,10736.150390625
2018-06-01,10696.2001953125
2018-06-04,10628.5
2018-06-05,10593.150390625
2018-06-06,10684.650390625
2018-06-07,10768.349609375
2018-06-08,10767.650390625
2018-06-11,10786.9501953125
2018-06-12,10842.849609375
2018-06-13,10856.7001953125
2018-06-14,10808.0498046875
2018-06-15,10817.7001953125
2018-06-18,10799.849609375
2018-06-19,10710.4501953125
2018-06-20,10772.0498046875
2018-06-21,10741.099609375
2018-06-22,10821.849609375
2018-06-25,10762.4501953125
2018-06-26,10769.150390625
2018-06-27,10671.400390625
2018-06-28,10589.099609375
2018-06-29,10714.2998046875
2018-07-02,10657.2998046875
2018-07-03,10699.900390625
2018-07-04,10769.900390625
2018-07-05,10749.75
2018-07-06,10772.650390625
2018-07-09,10852.900390625
2018-07-10,10947.25
2018-07-11,10948.2998046875
2018-07-12,11023.2001953125
2018-07-13,11018.900390625
2018-07-16,10936.849609375
2018-07-17,11008.0498046875
2018-07-18,10980.4501953125
2018-07-19,10957.099609375
2018-07-20,11010.2001953125
2018-07-23,11084.75
2018-07-24,11134.2998046875
2018-07-25,11132.0
2018-07-26,11167.2998046875
2018-07-27,11278.349609375
2018-07-30,11319.5498046875
2018-07-31,11356.5
2018-08-01,11346.2001953125
2018-08-02,11244.7001953125
2018-08-03,11360.7998046875
2018-08-06,11387.099609375
2018-08-07,11389.4501953125
2018-08-08,11450.0
2018-08-09,11470.7001953125
2018-08-10,11429.5
2018-08-13,11355.75
2018-08-14,11435.099609375
2018-08-16,11385.0498046875
2018-08-17,11470.75
2018-08-20,11551.75
2018-08-21,11570.900390625
2018-08-23,11582.75
2018-08-24,11557.099609375
2018-08-27,11691.9501953125
2018-08-28,11738.5
2018-08-29,11691.900390625
2018-08-30,11676.7998046875
2018-08-31,11680.5
2018-09-03,11582.349609375
2018-09-04,11520.2998046875
2018-09-05,11476.9501953125
2018-09-06,11536.900390625
2018-09-07,11589.099609375
2018-09-10,11438.099609375
2018-09-11,11287.5
2018-09-12,11369.900390625
2018-09-14,11515.2001953125
2018-09-17,11377.75
2018-09-18,11278.900390625
2018-09-19,11234.349609375
2018-09-21,11143.099609375
2018-09-24,10967.400390625
2018-09-25,11067.4501953125
2018-09-26,11053.7998046875
2018-09-27,10977.5498046875
2018-09-28,10930.4501953125
2018-10-01,11008.2998046875
2018-10-03,10858.25
2018-10-04,10599.25
2018-10-05,10316.4501953125
2018-10-08,10348.0498046875
2018-10-09,10301.0498046875
2018-10-10,10460.099609375
2018-10-11,10234.650390625
2018-10-12,10472.5
2018-10-15,10512.5
2018-10-16,10584.75
2018-10-17,10453.0498046875
2018-10-19,10303.5498046875
2018-10-22,10245.25
2018-10-23,10146.7998046875
2018-10-24,10224.75
2018-10-25,10124.900390625
2018-10-26,10030.0
2018-10-29,10250.849609375
