Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,1356.5,1370.3499755859375,1330.800048828125,1349.75,1349.75,87904
2021-01-04,1366.8499755859375,1450.0,1330.0,1425.8499755859375,1425.8499755859375,311873
2021-01-05,1428.0,1436.800048828125,1371.300048828125,1417.75,1417.75,312534
2021-01-06,1415.0,1450.0,1414.0,1439.949951171875,1439.949951171875,173919
2021-01-07,1442.0,1465.0,1416.8499755859375,1443.4000244140625,1443.4000244140625,235201
2021-01-08,1436.0999755859375,1453.1500244140625,1392.0,1411.6500244140625,1411.6500244140625,222329
2021-01-11,1427.0,1431.4000244140625,1380.0,1403.1500244140625,1403.1500244140625,112836
2021-01-12,1392.0,1418.4000244140625,1340.5999755859375,1369.0,1369.0,133999
2021-01-13,1363.0,1410.0,1351.4000244140625,1357.9000244140625,1357.9000244140625,159427
2021-01-14,1364.699951171875,1372.300048828125,1314.4000244140625,1325.75,1325.75,129907
2021-01-15,1334.5999755859375,1352.0,1310.0,1317.6500244140625,1317.6500244140625,168542
2021-01-18,1325.0,1345.0,1289.1500244140625,1306.949951171875,1306.949951171875,49113
2021-01-19,1314.9000244140625,1333.0,1300.3499755859375,1319.75,1319.75,73478
2021-01-20,1320.0,1356.0,1320.0,1349.050048828125,1349.050048828125,270959
2021-01-21,1364.050048828125,1375.0,1340.0,1362.199951171875,1362.199951171875,139158
2021-01-22,1365.0,1417.0,1352.6500244140625,1409.550048828125,1409.550048828125,392087
2021-01-25,1415.0,1415.0,1377.800048828125,1391.199951171875,1391.199951171875,76254
2021-01-27,1377.0,1409.949951171875,1370.8499755859375,1390.0999755859375,1390.0999755859375,71889
2021-01-28,1375.199951171875,1402.949951171875,1358.0,1389.9000244140625,1389.9000244140625,39302
2021-01-29,1409.0,1418.0,1350.0,1384.6500244140625,1384.6500244140625,113630
